class,tweet
0,"Just when I'm feeling totally useless in the world (another) baby bird found in need of TLC Just call me DrDolittle"
0,"Diplomatic trolling Russian embassy mocks NATO's satellite pictures"
1,"Good day spent with my faggot"
1,"bitch nigga miss me with it"
1,"You are an ignorant cunt."
1,"Saw my dog humpin this female dog the other day. Now the female is waiting outside my door for a quick hook up. My dog gets bitches!"
1,"If ya friends always trynna get you to break-up wit ya nigga or do THOT shit wit them Them bitches really ain't ya friends!"
1,"what would u do? that bitch down the stairs!"
1,"She like to argue so I sent dat bitch to law school"
0,"you watching this trash?"
0,"I'm Hun-gry"
0,"Bank robber who wore zebra-print dress arrested, police say"
0,"Got 5 20% off slots for sole sauce for the early birds today Use SAVE20 at checkout"
1,"bitches love body party but when it's time to take da dick, the party canceled FALSE ADVERTISING ASS BITCHES"
1,"You lil stupid ass bitch i aint fuckin wit you"
1,"only like bitches ran for homecoming but like 20 running for prom"
1,"See Your pussy and personality gotta be trash if a nigga stopped talking to you after sex"
0,"Great GIF. Got a source URL for ?"
1,"One last shot at this love shit then I'm dogging you hoes Drakelistener"
1,"Translation for the slow he out saving hoes 1 by 1 Out here saving lives!"
0,"Up like an eagle tryna catch the early bird that catches the worm."
0,"Just me or are there a lot of tweets from media tonight about election night food?! For the record cheese and crackers"
0,"It's stuff like this that makes black people look retarded. It's not expressing yourself its stupidity"
1,"bitches talk shit, you got the right to swerve god damnit you are da shittt"
1,"Dis bitch blowin me man fuck u"
1,"does smdh stand for suck my dick, hoe?"
1,"bslfe in this bitch PullUp 40st and Washington space A-80"
1,"ohh bitch i gotta go fck with my girl my second lil family frfr"
1,"negro please I got a job now lmao"
0,"Western Jihadi fanboys use of language peppering sentences with Arabic words to sound knowledgeable - Comical"
0,"honky tonk badonka ankh"
1,"it's always a white bitch doing something OP lol like they give zero fucks when it comes to dick"
0,"portlandia putabirdonit The Xbox One would be so much cooler if they put a bird on it"
0,"Adam West? LMAO this is trash b"
0,"time to dump another diet coke in the trash"
1,"AlexFromTarget gets a million retweets but ChrisFromWalmart cant even get a bitch to text him back"
0,"Well Jenna's getting a yellow lab so I know where ill be whenever I'm home"
1,"these hoes ain't loyal"
0,"Early bird gets the worm!"
1,"A relationship is for 2 . . but you know some of you hoes don't know how to count"
1,"spiked that bitchdamned nailed her down"
0,"drunk trash trashed wasted @ The Draught Horse"
0,"Aren't they the best? There story is here Now it's time to visit our yellow friends at !"
0,"I wonder if the progs didn't relegate young black men to the ghettos to keep them away from harry reid's friends"
1,"yeah right queer. The only piece of ass you've ever got is when it finger broke thru the toilet paper"
1,"Im from the 210 you already know bout to bust a flow on this bitch hoe names miguel is chillin with my nigga tono"
1,"Dude live next to me be hitting some ugly ass hoes Got Damn"
0,"Been Huntin hard and finally nailed her. Best wedding koozie I've ever seen. redneck"
1,"haha yeah it's just gonna be a bitch going btw there and Illinois on leave mannn. I'm stoked they are tho"
1,"Yo can you guys stop being little bitches just know everything happens for a reason of your meant to be you will be"
1,"I titty wrecked ya bitch."
1,"Yahhhhhh bitch YAHHHH"
0,"It feels awkward to have the playing against the . I mean, we all know who I'm rooting for, but it's awkward."
0,"Reason 2 I didn't order a shirt Taffy will know where I live and he would probably find me and stab me."
0,"I'd kill to meet Charlie Sheen."
1,"lol now all ya need is sum beacg bod abs pussy boy"
0,"we may or may not be trash at taking pictures together"
1,"Long hair = pussy any time you want it"
0,"It's just not the same, LittleDebbie Cloud Cake are not Twinkies!"
0,"I look like a dusty bird today"
1,"girl you know I was spitting that G shit to you and you was going lbvsbitch plz"
1,"I have sex with a lot of guys but I'm not a hoe and I can sell Crack to people and not be a drug dealer FOH HOE"
0,"Rand Paul mocks Clinton with HillarysLosers pics with failed candidates"
0,"The paranoid fear of sharia on the right boils down to Christian fundamentalists should be the sole oppressors and persecu"
0,"3D bird and feather drawing"
1,"Omg you own a microwave!? Fancy bitch"
1,"dat Nigga Lame bro he Unfollowed Me Like A bitch"
0,"I don't always get drunk and pass out but when I do, when did they start making colored duct tape?"
1,"And youre a fucking loudmouth ignorant redneck fuck. You still tryin to suck your own dick? You cant you dumbfuck its too short."
1,"sarcastic cunt, yes"
0,"guess who's eating cracker b without you"
1,"Ctfu bitch get out dem feelings and get some new dick"
1,"All Detroit niggas do is listen to DBCO and fuck other niggas bitches while trying to hold on to their own with no money an"
0,"Ain't no love in the ghetto"
1,"Loyalty is not dead. Gtfo. Don't marginalize me bitch."
1,"I think you fuckin wit the wrong niggah"
1,"Not basic bitches"
1,"Am sorry I can't stand stand some black females especially the full breaded Africans bitches being have std and shit I prefer white girls"
1,"1. Knew he was gettin pussy later 2. He yakked 3. You look stoned as hell"
1,"Oh this bitch Midy must be crazy"
0,"A Yankee win makes any day better."
0,"baby monkey in the snow im crying"
1,"Dating you would be like Darnell dating that fatal attraction bitch Brandy lol"
0,"bumcia is trash smfh I would've thought he would have gone after Khan but what you said makes sense"
0,"All I ever want is for someone to love me as deeply and devotedly as Charlie Kelly loves the waitress."
0,"My iPhone has 2 million times the storage of the 1969 Apollo 11 spacecraft computer. They went to the moon. I throw bird"
1,"you ain't a real nigga without goal a to chase and a yellow bone bitch w/ some toes to paint"
0,"DOMINIQUE Made Larry bird do a 360 lmaooo"
0,"Frogger, best game ever only cuz You suck at flappy bird"
0,"I from the planet of apes king Kong clips"
1,"yea dem hoes crazy"
1,"I'm lifted before I'm stiff out of this bitch"
1,"thirsty hoes"
1,"I'm back bitches 3d back in effect it's on tonite"
1,"gotta clear ya throat of all that pussy eh My voice is the deepest in the morning"
1,"woof woof. Sexy thug boy scally."
0,"I like to mock Apple, but I'm legitimately interested to see what their wearable looks like."
0,"Sometimes I wish I had a cute pet monkey, but then I remember it would probably defecate everywhere, beat me up, and destroy my house."
1,"Experience Charlie. Married woman who loves hot phone sex with strangers. Can you get me off? - 27"
0,"Appropriately this guy wears the WV yellow Rick James on his face."
1,"oh no. They drafted that gay ass that come out on TV? Well u welcome to Redskins nation. No queers just a lot of niggers."
0,"Or get swept in MoTown LOL Yankees Tigers MLB"
1,"Who fukn wit for real for real Dat nicca be riding!"
1,"All you bitches thirsty hella worried about IG"
1,"there's 13 people in my house and they're all yelling pls god give me the strength not to beat a bitch."
1,"Pullout game trash Iyanla having an intrrvention with a man who has 34 kids with 17 women. I have other questions."
1,"Brees you need a black hoe, who cheating on her man that work offshore, that would fuck you while the baby in the bed w"
0,"now jimmy want to talk trash would've ,should've, could've now, Chris stop talking and spitting!"
0,"this guys company had best year EVER under Obama conservative teabaggers are scum"
0,"o yea! liking the yellow)"
1,"Sosa on the beat ho"
0,"Go fight against the IDF if you progressive trash hate them so much, you don't have the guts to do it. IStandWithIsr"
1,"If this ugly to you, you either a gay nigga or a hating ass bitch"
0,"iubb 1 suiting up again tonight! Indiana IU ncaa hoosierdaddy HoosierNation hoosiers"
1,"What you know about getting money low key Hanging with the street niccas fukn wit the OG's"
0,"boooooooo that was trash"
1,"you little fag. At least I will fuck a Woman to have kids. Plus work to support them. Hipster homo"
0,"porn,android,iphone,ipad,sex,xxx, | Desi | paki"
0,"lemme guess you wore the hilly hicks sweats/leggings"
0,"I luh to lick the middle like an Oreo"
0,"Maybe is colored blind with his red lines and all. Tough talk, no walk. tcot"
1,"bitch nigga"
0,"trassshhh Them 13's that come out this weekend so trash!"
0,"Red Hot Chili Peppers with the longest nip-slip in Super Bowl Half Time Show history."
0,"Thee Bears are trash tho"
1,"if he wants bitches tip toein on his marble floors he will"
1,"These hoes got no chill"
1,"you have no sense of humor so back off their backsur a lil bitch and im 10"
1,"My babies pussy is too tight today."
1,"intimidated?! What pussies, all I see is a sweet, honest woman, but seriously you could make this stalking thing so much easier!"
1,"all the bitches love me"
1,"That other shit for the birds . Get over yo self"
0,"Sonia never criticises . Kejriwal, who trashes every other leader, never criticises Sonia. Touching. YoK"
1,"She's a sapiosexual. I had a Jimmy Neutron brain blast. Showed her I'm an intellectual and put the pussy on the chainwax."
1,"Why 2 dudes would wanna fuck the same bitch at the same time is far beyond me."
0,"the bird with the aim of dreams"
0,"Just follow the yellow brick twitter."
1,"Ian watch Maury in so long Maury wear jeans on the show now I guess he like f**k I need to dress up for these ghetto ass ppl anymore"
0,"Two stocks to turn trash into cash"
0,"Dreamed I was eating a brownie and started salivating and woke up almost coughing myself to death. Today is a struggle."
1,"bitch my phones gonna die in serious I got hot pockets"
0,"got it! thanks Hun! ima text u"
0,"i wish i was one of those girls who guys liked no matter what ike i could wear sweats and my hair up and they would sti"
0,"where are all the thinkpieces on why kids call themselves trash and garbage these days"
0,"they might be called 5 seconds of summer but their songs are 3 minutes of trash"
0,"My favorite shark is megaldon, my least favorite is a mud shark. They are the worst"
0,"She unfollowed me after I said I cried watching dawn of the apes lmaooooooo"
0,"I'm Camera Shy, Don't Talk on Phones and Love when it rain If youn kno the life you wouldn't understand"
0,"The Conjuring wasn't trash. It just wasn't as good as Insidious."
1,"And then everyone bitches anyways. The guy can't win with the fans we have. We would run Revis out of here in his prime"
1,"vegeta is a little bitch TeamGoku"
1,"so y'all niggaz ain't never listen to no slow shit with a bitch"
1,"He's going to be someone's bitch He bought to catch hell in cell block D. They fuck up men who are rapist and child molesters."
1,"1st game of Fall 7s finna kill some hoes"
0,"Charlie Daniels Goes Off on Satanic Evil"
0,"Ik vraag me al maanden af hoe de NL pers zich als een stel hoeren is gaan ge"
0,"just pulled out his pocket Constitution! Bring it man! just mocked McCain's wacko-birds comment! HaHaHa! standtall"
1,"Produced by yung Bouta drop dis hoe"
1,"Eat my pussy!"
1,"It's definitely a bitch everything in life is ruled by money. Such a moral heartbreak."
